Lambda,Algorithm,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,Std Norm Energy,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Total Energy (Wh),Std Total Energy (Wh)
0.8,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.5071530481080287,0.0,731.4273224816835,0.0
0.8,epsilon_greedy,5,0.5159244602891567,0.06358667021529213,0.08223436306632922,0.012471434083401347,0.11421896980430084,0.01372515886449632,0.8373974016047679,0.004654627644944135,111.82166488652732,16.973181324307703
0.8,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.5470529019891578,0.0,440.4658335067344,0.0
0.8,linear_epsilon_greedy,5,0.5422138329265527,0.025460565286022738,0.08839720072805846,0.006608230397401623,0.12426698628544786,0.004857204088580563,0.8377250060028638,0.005184400492864915,115.01233432985214,9.01048664499101
0.8,linucb,5,0.5358189165900273,0.016871090908579876,0.07983697490787278,0.004078392001258727,0.11533320775978018,0.005476197023203144,0.8432942033917072,0.00217623940072369,103.17667259473232,11.580815382907565
0.8,random,5,0.5117880358870703,0.004144003166482107,0.16628572952671816,0.0022349336381667284,0.20498005218828932,0.00249250127014711,0.7693290235560395,0.0024521819388137627,235.0618124812986,5.725646201304911
0.8,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.8262169467435274,0.0,52.463203797571865,0.0
0.8,thompson_sampling,5,0.5398054746891114,0.012388650767760443,0.08474423842193143,0.0020793868461574353,0.12138528211218798,0.002818512482976008,0.8401657042002771,0.0019587895725423727,113.41988786897164,6.847737349075164
0.9,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.4849217275082073,0.0,731.4273224816835,0.0
0.9,epsilon_greedy,5,0.40298494707442895,0.054802594253739054,0.05241704912731189,0.012216624963501678,0.0790208250309303,0.02071350474765168,0.8931231504928622,0.005535199669086013,69.75938160548442,14.07065142123095
0.9,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.5674102914006421,0.0,440.4658335067344,0.0
0.9,linear_epsilon_greedy,5,0.4428228866312115,0.04289077018675426,0.06675291736872568,0.009030894185878637,0.10494179422013847,0.010673807697537792,0.884204663031268,0.0045952541227138495,74.77493650955996,19.234958126275675
